Each numbered origami of degree  6  is represented as follows.
The format is (x,y,\epsilon), where x and y are shown as cycles, and \epsilon is shown as a list with + as 0 and - as 1.
O_ 33  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 3, 5, 4]] [0 0 0 0 1 1] ), abelian= False
O_ 34  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 3, 5], [4]] [0 0 0 0 0 0] ), abelian= True
O_ 35  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 3, 5], [4]] [0 0 1 0 0 0] ), abelian= False
O_ 36  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 3, 5], [4]] [0 0 0 1 0 0] ), abelian= False
O_ 37  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 3, 5], [4]] [0 0 1 1 0 0] ), abelian= False
O_ 38  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 3, 5], [4]] [0 0 0 0 0 1] ), abelian= False
O_ 39  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 3, 5], [4]] [0 0 1 0 0 1] ), abelian= False
O_ 40  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 3, 5], [4]] [0 0 0 1 0 1] ), abelian= False
O_ 41  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 3, 5], [4]] [0 0 1 1 0 1] ), abelian= True
O_ 42  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4], [3, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 43  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4], [3, 5]] [0 0 1 0 0 0] ), abelian= False
O_ 44  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4], [3, 5]] [0 0 1 1 0 0] ), abelian= False
O_ 45  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4, 3, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 46  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4, 3, 5]] [0 0 1 0 0 0] ), abelian= False
O_ 47  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4, 3, 5]] [0 0 0 1 0 0] ), abelian= False
O_ 48  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4, 3, 5]] [0 0 1 1 0 0] ), abelian= False
O_ 49  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4, 3, 5]] [0 0 1 0 1 0] ), abelian= False
O_ 50  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4, 3, 5]] [0 0 0 1 1 0] ), abelian= False
O_ 51  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4, 3, 5]] [0 0 1 1 1 0] ), abelian= False
O_ 52  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4, 3, 5]] [0 0 1 0 0 1] ), abelian= False
O_ 53  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4, 3, 5]] [0 0 1 1 0 1] ), abelian= False
O_ 54  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 4, 3, 5]] [0 0 1 1 1 1] ), abelian= True
O_ 55  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 5], [3], [4]] [0 0 0 0 0 0] ), abelian= True
O_ 56  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 5], [3], [4]] [0 0 1 0 0 0] ), abelian= False
O_ 57  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 5], [3, 4]] [0 0 0 0 0 0] ), abelian= True
O_ 58  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 5], [3, 4]] [0 0 1 0 0 0] ), abelian= False
O_ 59  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 5], [3, 4]] [0 0 0 1 0 0] ), abelian= False
O_ 60  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1], [2, 5], [3, 4]] [0 0 1 1 0 0] ), abelian= False
O_ 61  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3], [4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 62  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3], [4, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 63  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3], [4, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 64  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 65  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 66  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 0 0 1 0 0] ), abelian= False
O_ 67  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 1 0 1 0 0] ), abelian= False
O_ 68  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 69  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 70  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 0 0 1 1 0] ), abelian= False
O_ 71  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 1 0 1 1 0] ), abelian= False
O_ 72  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 0 0 0 0 1] ), abelian= False
O_ 73  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 1 0 0 0 1] ), abelian= False
O_ 74  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 0 0 1 0 1] ), abelian= False
O_ 75  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 1 0 1 0 1] ), abelian= False
O_ 76  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 0 0 0 1 1] ), abelian= False
O_ 77  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 1 0 0 1 1] ), abelian= False
O_ 78  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 0 0 1 1 1] ), abelian= True
O_ 79  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 4, 5]] [0 1 0 1 1 1] ), abelian= False
O_ 80  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 5], [4]] [0 0 0 0 0 0] ), abelian= True
O_ 81  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 5], [4]] [0 1 0 0 0 0] ), abelian= False
O_ 82  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 5], [4]] [0 0 0 1 0 0] ), abelian= False
O_ 83  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2], [3, 5], [4]] [0 1 0 1 0 0] ), abelian= False
O_ 84  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 85  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 86  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 0 1 0 0 0] ), abelian= False
O_ 87  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 1 0 0 0] ), abelian= False
O_ 88  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 0 0 1 0 0] ), abelian= False
O_ 89  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 0 1 0 0] ), abelian= False
O_ 90  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 0 1 1 0 0] ), abelian= False
O_ 91  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 1 1 0 0] ), abelian= False
O_ 92  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 93  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 0 1 0 1 0] ), abelian= False
O_ 94  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 1 0 1 0] ), abelian= False
O_ 95  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 0 1 1 0] ), abelian= False
O_ 96  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 0 1 1 1 0] ), abelian= False
O_ 97  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 1 1 1 0] ), abelian= False
O_ 98  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 0 0 0 1] ), abelian= False
O_ 99  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 1 0 0 1] ), abelian= False
O_ 100  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 0 1 0 1] ), abelian= False
O_ 101  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 1 1 0 1] ), abelian= False
O_ 102  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 1 0 1 1] ), abelian= False
O_ 103  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 4, 5]] [0 1 1 1 1 1] ), abelian= True
O_ 104  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 0 0 0 0] ), abelian= True
O_ 105  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 0 0 0 0] ), abelian= False
O_ 106  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 1 0 0 0] ), abelian= False
O_ 107  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 1 0 0 0] ), abelian= False
O_ 108  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 0 1 0 0] ), abelian= False
O_ 109  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 0 1 0 0] ), abelian= False
O_ 110  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 1 1 0 0] ), abelian= False
O_ 111  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 1 1 0 0] ), abelian= False
O_ 112  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 0 0 1 0] ), abelian= False
O_ 113  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 0 0 1 0] ), abelian= False
O_ 114  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 1 0 1 0] ), abelian= False
O_ 115  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 1 0 1 0] ), abelian= False
O_ 116  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 0 1 1 0] ), abelian= False
O_ 117  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 0 1 1 0] ), abelian= False
O_ 118  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 1 1 1 0] ), abelian= False
O_ 119  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 1 1 1 0] ), abelian= False
O_ 120  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 0 0 0 1] ), abelian= False
O_ 121  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 0 0 0 1] ), abelian= False
O_ 122  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 1 0 0 1] ), abelian= False
O_ 123  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 1 0 0 1] ), abelian= False
O_ 124  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 0 1 0 1] ), abelian= False
O_ 125  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 0 1 0 1] ), abelian= False
O_ 126  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 1 1 0 1] ), abelian= False
O_ 127  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 1 1 0 1] ), abelian= False
O_ 128  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 0 0 1 1] ), abelian= False
O_ 129  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 0 0 1 1] ), abelian= False
O_ 130  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 1 0 1 1] ), abelian= False
O_ 131  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 1 0 1 1] ), abelian= False
O_ 132  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 0 1 1 1] ), abelian= False
O_ 133  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 0 1 1 1] ), abelian= False
O_ 134  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 0 1 1 1 1] ), abelian= False
O_ 135  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5, 4]] [0 1 1 1 1 1] ), abelian= True
O_ 136  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5], [4]] [0 0 0 0 0 0] ), abelian= True
O_ 137  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5], [4]] [0 1 0 0 0 0] ), abelian= False
O_ 138  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5], [4]] [0 0 1 0 0 0] ), abelian= False
O_ 139  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5], [4]] [0 1 1 0 0 0] ), abelian= False
O_ 140  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5], [4]] [0 1 0 1 0 0] ), abelian= False
O_ 141  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5], [4]] [0 1 1 1 0 0] ), abelian= False
O_ 142  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5], [4]] [0 0 0 0 0 1] ), abelian= False
O_ 143  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5], [4]] [0 1 0 0 0 1] ), abelian= False
O_ 144  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5], [4]] [0 0 1 0 0 1] ), abelian= False
O_ 145  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5], [4]] [0 1 1 0 0 1] ), abelian= False
O_ 146  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5], [4]] [0 1 0 1 0 1] ), abelian= False
O_ 147  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 3, 5], [4]] [0 1 1 1 0 1] ), abelian= True
O_ 148  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 0 0 0 0 0] ), abelian= True
O_ 149  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 0 0 0 0] ), abelian= False
O_ 150  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 0 1 0 0 0] ), abelian= False
O_ 151  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 1 0 0 0] ), abelian= False
O_ 152  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 0 0 1 0 0] ), abelian= False
O_ 153  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 0 1 0 0] ), abelian= False
O_ 154  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 0 1 1 0 0] ), abelian= False
O_ 155  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 1 1 0 0] ), abelian= False
O_ 156  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 0 0 1 0] ), abelian= False
O_ 157  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 0 1 0 1 0] ), abelian= False
O_ 158  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 1 0 1 0] ), abelian= False
O_ 159  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 0 1 1 0] ), abelian= False
O_ 160  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 0 1 1 1 0] ), abelian= False
O_ 161  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 1 1 1 0] ), abelian= False
O_ 162  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 0 0 0 1] ), abelian= False
O_ 163  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 1 0 0 1] ), abelian= False
O_ 164  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 0 1 0 1] ), abelian= False
O_ 165  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 1 1 0 1] ), abelian= False
O_ 166  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 1 0 1 1] ), abelian= False
O_ 167  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5, 3]] [0 1 1 1 1 1] ), abelian= True
O_ 168  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5], [3]] [0 0 0 0 0 0] ), abelian= True
O_ 169  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5], [3]] [0 1 0 0 0 0] ), abelian= False
O_ 170  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5], [3]] [0 1 1 0 0 0] ), abelian= False
O_ 171  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5], [3]] [0 1 0 0 1 0] ), abelian= False
O_ 172  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5], [3]] [0 0 1 0 1 0] ), abelian= False
O_ 173  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5], [3]] [0 1 1 0 1 0] ), abelian= False
O_ 174  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 5], [3]] [0 1 1 0 1 1] ), abelian= True
O_ 175  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 176  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 177  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 0 1 0 0 0] ), abelian= False
O_ 178  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 1 1 0 0 0] ), abelian= False
O_ 179  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 0 0 1 0 0] ), abelian= False
O_ 180  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 1 0 1 0 0] ), abelian= False
O_ 181  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 0 1 1 0 0] ), abelian= False
O_ 182  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 1 1 1 0 0] ), abelian= False
O_ 183  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 184  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 185  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 0 1 0 1 0] ), abelian= False
O_ 186  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 1 1 0 1 0] ), abelian= True
O_ 187  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 0 0 1 1 0] ), abelian= False
O_ 188  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 1 0 1 1 0] ), abelian= False
O_ 189  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 0 1 1 1 0] ), abelian= False
O_ 190  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4], [3, 5]] [0 1 1 1 1 0] ), abelian= False
O_ 191  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 3, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 192  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 3, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 193  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 3, 5]] [0 0 1 0 0 0] ), abelian= False
O_ 194  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 3, 5]] [0 1 1 0 0 0] ), abelian= False
O_ 195  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 3, 5]] [0 0 0 1 0 0] ), abelian= False
O_ 196  = ( [[0, 1, 2, 3, 4, 5]] [[0], [1, 2, 4, 3, 5]] [0 1 0 1 0 0] ), abelian= False
