Each numbered origami of degree  5  is represented as follows.
The format is (x,y,\epsilon), where x and y are shown as cycles, and \epsilon is shown as a list with + as 0 and - as 1.
O_ 138  = ( [[0], [1, 2, 3, 4]] [[0], [1], [2], [3, 4]] [0 0 0 0 0] ), abelian= True
O_ 139  = ( [[0], [1, 2, 3, 4]] [[0], [1], [2], [3, 4]] [0 0 0 1 0] ), abelian= False
O_ 140  = ( [[0], [1, 2, 3, 4]] [[0], [1], [2, 3, 4]] [0 0 0 0 0] ), abelian= True
O_ 141  = ( [[0], [1, 2, 3, 4]] [[0], [1], [2, 3, 4]] [0 0 1 0 0] ), abelian= False
O_ 142  = ( [[0], [1, 2, 3, 4]] [[0], [1], [2, 3, 4]] [0 0 0 1 0] ), abelian= False
O_ 143  = ( [[0], [1, 2, 3, 4]] [[0], [1], [2, 3, 4]] [0 0 1 1 0] ), abelian= False
O_ 144  = ( [[0], [1, 2, 3, 4]] [[0], [1], [2, 3, 4]] [0 0 1 0 1] ), abelian= False
O_ 145  = ( [[0], [1, 2, 3, 4]] [[0], [1], [2, 3, 4]] [0 0 1 1 1] ), abelian= True
O_ 146  = ( [[0], [1, 2, 3, 4]] [[0], [1], [2, 4], [3]] [0 0 0 0 0] ), abelian= True
O_ 147  = ( [[0], [1, 2, 3, 4]] [[0], [1], [2, 4], [3]] [0 0 1 0 0] ), abelian= False
O_ 148  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2], [3, 4]] [0 0 0 0 0] ), abelian= True
O_ 149  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2], [3, 4]] [0 1 0 0 0] ), abelian= False
O_ 150  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2], [3, 4]] [0 1 0 1 0] ), abelian= False
O_ 151  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 3, 4]] [0 0 0 0 0] ), abelian= True
O_ 152  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 3, 4]] [0 1 0 0 0] ), abelian= False
O_ 153  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 3, 4]] [0 1 1 0 0] ), abelian= False
O_ 154  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 3, 4]] [0 1 0 1 0] ), abelian= False
O_ 155  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 3, 4]] [0 1 1 1 0] ), abelian= False
O_ 156  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 3, 4]] [0 1 1 1 1] ), abelian= True
O_ 157  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 4, 3]] [0 0 0 0 0] ), abelian= True
O_ 158  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 4, 3]] [0 1 0 0 0] ), abelian= False
O_ 159  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 4, 3]] [0 1 1 0 0] ), abelian= False
O_ 160  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 4, 3]] [0 0 0 1 0] ), abelian= False
O_ 161  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 4, 3]] [0 1 0 1 0] ), abelian= False
O_ 162  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 4, 3]] [0 0 1 1 0] ), abelian= False
O_ 163  = ( [[0], [1, 2, 3, 4]] [[0], [1, 2, 4, 3]] [0 0 0 1 1] ), abelian= False
O_ 164  = ( [[0], [1, 2, 3, 4]] [[0], [1, 3], [2, 4]] [0 0 0 0 0] ), abelian= True
O_ 165  = ( [[0], [1, 2, 3, 4]] [[0], [1, 3], [2, 4]] [0 1 0 0 0] ), abelian= False
O_ 166  = ( [[0], [1, 2, 3, 4]] [[0], [1, 3], [2, 4]] [0 1 1 0 0] ), abelian= False
O_ 167  = ( [[0], [1, 2, 3, 4]] [[0, 1], [2], [3], [4]] [0 0 0 0 0] ), abelian= True
O_ 168  = ( [[0], [1, 2, 3, 4]] [[0, 1], [2], [3, 4]] [0 0 0 0 0] ), abelian= True
O_ 169  = ( [[0], [1, 2, 3, 4]] [[0, 1], [2], [3, 4]] [0 0 0 1 0] ), abelian= False
O_ 170  = ( [[0], [1, 2, 3, 4]] [[0, 1], [2, 3, 4]] [0 0 0 0 0] ), abelian= True
